"clinic_name","doctify_profile_url","website_url","location","specialty_tags","specialist_count","review_count","contact_email","phone","doctify_about","cqc_location_id","cqc_registered_manager","cqc_nominated_individual","cqc_match_confidence","decision_maker_email","decision_maker_name_matched","decision_maker_email_source","decision_maker_email_confidence","decision_maker_email_verified","doctify_email","doctify_specialist_slug","clinic_summary","relevant_services","key_people","code_score","salutation_name","judge_approved","judge_reason","auto_send_eligible","gmail_draft_id","fit_score","fit_reason","best_sales_angle","possible_objection","filter_reason","tailored_line","suggested_subject","suggested_email_body","status","error","email_sent_date","email_thread_id","followup_draft_id","followup_status"
"LIPS Healthcare","https://www.doctify.com/uk/practice/lips-battersea-power-station","https://lips.org.uk/","London, SW11 8DD","Hepatology; Renal Medicine (Nephrology); Anaesthetics; Cardiology; Dermatology; Ear Nose & Throat Surgery (ENT/Otolaryngology); Emergency Medicine; Endocrinology & Diabetes; Fertility Medicine; Gastroenterology; General (Internal) Medicine; General Practice (GP); General Surgery; Geriatric Medicine; Haematology; Neurology; Neurosurgery; Obstetrics & Gynaecology; Ophthalmology; Oral & Maxillofacial Surgery; Orthopaedic Surgery; Physiotherapy; Plastic Surgery; Psychiatry; Psychology; Radiology; Rheumatology; Sexual & Reproductive Health; Sports & Exercise Medicine; Urology","125","433","info@lips.org.uk","+442071646114","Battersea Power Station Turbine Hall B, Level 1, London, United Kingdom, SW11 8DD  Battersea Power Station Turbine Hall B, Level 1, London, United Kingdom, SW11 8DD  At LIPS Healthcare, we believe that health is the essence of life. That’s why we are dedicated to delivering premium, comprehensive healthcare with exceptional, seamless, and patient-centred services, ensuring you feel healthier, and stronger every day.  Founded in 2016, LIPS Healthcare has grown into the UK’s largest private multispecialty group, bringing together over 100 renowned leading doctors and consultants across more than 24 specialties, committed to guiding you through every step of your healthcare journey, without the wait.  Battersea Power Station Turbine Hall B, Level 1, London, United Kingdom, SW11 8DD  Patients consistently describe the staff and clinicians at LIPS Healthcare as friendly, helpful, and professional. Reviews frequently highlight the practice's modern and clean facilities, particularly noting the Battersea Power Station location. Many patients appreciate efficient service, smooth procedures, and clear explanations of their conditions and treatments. Overall, a high number of patients seek LIPS Healthcare for orthopaedic, spinal, and pain management treatments, including knee and hip issues.","1-19680665038","Mr Ibraheim Talat El-Daly","Mr Ibraheim Talat El-Daly","exact","","","","","","","NOT_FOUND","","","","","Mr Ibraheim Talat El-Daly","","","","","","","","","","","","","unknown","","","","",""
"London Gynaecology - Moorgate","https://www.doctify.com/uk/practice/london-gynaecology","https://www.london-gynaecology.com/","London, EC2N 2HE","Gynaecology; Gynaecological Oncology; General Practice (GP); General Practice (GP) (Video Consultation); Health Screening; Laparoscopic (Key-Hole) Surgery; Obstetrics & Gynaecology; Reproductive Medicine; Sexual & Reproductive Health; Sonography; Uro-Gynaecology; Women's Health","21","1145","contact@london-gynaecology.com","+442039894744","City of London 15 Austin Friars, London, United Kingdom, EC2N 2HE  City of London 15 Austin Friars, London, United Kingdom, EC2N 2HE  We are delighted to offer Online booking which allows patients to select their consultant, appointment type and book in directly at London Gynaecology.  London Gynaecology – Moorgate is a leading private gynaecology practice located at 15 Austin Friars, City of London, EC2N 2HE, offering high-quality, specialist care in a modern and welcoming setting.  Our team of experienced consultant gynaecologists provides a comprehensive range of gynaecology services tailored to women at every stage of life. We run daily colposcopy clinics and offer advanced diagnostics and treatments, including laparoscopic (keyhole) surgery, myomectomy, fibroid and HPV treatment, early pregnancy care, and ultrasound scanning. Our services also include antenatal screening such as the Harmony Test, Nuchal Translucency scans, and CVS/amniocentesis.  We specialise in the diagnosis and management of conditions such as endometriosis, adenomyosis, heavy or irregular periods, polycystic ovary syndrome (PCOS), post-menopausal bleeding, and recurrent miscarriage, always taking a personalised and compassionate approach.","1-8616190725","Mr Narendra Vinayak Pisal","Mr Narendra Vinayak Pisal","fuzzy","","","","","","contact@london-gynaecology.com","mr-narendra-pisal","","","","","Mr Narendra Vinayak Pisal","","","","","","","","","","","","","unknown","","","","",""
"The Luna Clinic","https://www.doctify.com/uk/practice/the-luna-clinic","https://thelunaclinic.com/","London, W1G 9PB","Endocrinology & Diabetes; Fertility Medicine; Laparoscopic (Key-Hole) Surgery; Obstetrics & Gynaecology; Reproductive Medicine; Sexual & Reproductive Health; Sonography","5","9","","+442031376093","The LUNA Clinic is a highly specialised gynaecology clinic in London that is focused on delivering the best quality care for women and their families.  LUNA offers high quality care for women with polycystic ovary syndrome, infertility, endocrine disorders, and menopause and is committed to delivering high quality holistic patient-centred care, working collaboratively with their patients to help them to stay healthy.  Established in 2023, LUNA seeks to fill the gap and provide much needed specialised care to women with common, yet poorly managed disorders. LUNA believes that ‘one size does not fit all’ and strives to provide individualised care that addresses the unique health needs of each individual they see.  They handled everything online so it was pretty smooth and helpful.  Receptionist and staff were friendly and accommodating chasing my scans from another hospital prior to my appointment with Dr Bassel, communicated effectively.  Virtual appt. The receptionist and Dr. Sophie were amazing and so friendly. However, the patient management was definitely sub par. I didn’t even mind that the doctor was late by an hour - I was dying to speak with her. But I did finish work early to get home in time for the appointment. However, even after I had that experience of a delay, I didn’t get my prescription immediately and it ultimately left me three days out of my medication. This was really anxiety inducing because it’s a new medication and diagnosis for me. I had to chase it up a few times, which doesn’t meet my expectations for a private clinic at all. Again, I have to say that the doctor was extremely thorough and I look forward to speaking with her again - it’s really just feels like the admin got completely dropped.","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Braetha Health","https://www.doctify.com/uk/practice/braetha-clinic","https://braetha.com/","London, W1G 7HP","Fertility Medicine; General Practice (GP); Obstetrics & Gynaecology","4","56","enquiries@braetha.com","+442072245292","At Braetha, every appointment is consultant-led, with continuity of care from people who know you. We listen carefully, explain clearly, and focus on what matters most - so you feel at ease, informed and in control.  Never rushed, never impersonal, our approach combines trusted expertise with care that's shaped around you. Where possible, scans, blood tests and minor procedures are carried out during the same visit - with no need for extra bookings or referrals.  Mr Braithwaite is kind, professional, knowledgeable and thorough. I have been coming for 16 years and wouldn't go anywhere else.  I had had a fall prior to coming to see Mr Brauthwaite and was treated with care and sympathy. I always find Mt Braithwaite and his team very courteous and in particular Mr Braithwaite explains things very well. He is very good at his job and has time for you. Nothing is rushed.  Braetha Health represents the highest standard of medical care in London. From initial consultation to ongoing support, this practice demonstrates an exceptional commitment to patient-centred healthcare that sets it apart from other providers.  The consultant physician exhibits genuine expertise paired with a rare quality of care that prioritises the individual patient. Rather than applying a one-size-fits-all approach, the doctor takes time to understand each patient’s unique circumstances, presenting evidence-based options and enabling informed decision-making through clear, thorough explanations. This holistic perspective—considering the whole patient rather than isolated symptoms—is fundamental to the quality of treatment delivered.  The supporting team is equally impressive. Nursing staff and administrative personnel operate with remarkable efficiency and organisation. The processes in place—before, during, and after visits—are seamlessly coordinated and executed to a standard that exceeds expectations. Every interaction reflects professionalism and attention to detail.  What truly distinguishes Braetha Health is the cohesion of the entire practice. The doctor, nurses, and administrative staff function as a genuinely integrated team, creating an experience that is both professionally excellent and distinctly personal. Patients are treated not as cases, but as individuals deserving of comprehensive, thoughtful medical support.  For anyone seeking the best medical practice London has to offer, Braetha Health is unequivocally the answer.  Mr Braithwaite is always welcoming, friendly and charming.  He makes a huge effort to make one feel relaxed (I need that) Dolly his assistant is also very good at making one feel at ease.  This is a very efficient, professional and friendly practice.  I highly recommend them all (not forgetting the office and admin team)","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"King Edward VII's Hospital","https://www.doctify.com/uk/practice/king-edward-viis-hospital","https://www.kingedwardvii.co.uk/","London, W1G 6AA","General Urology; Shoulder & Elbow Surgery; Hip Surgery; Knee Surgery; General Dermatology; Adult Ear, Nose & Throat Surgery; Andrology; General (Internal) Medicine; Hand Surgery; Urology; Xray; Clinical Oncology; Musculoskeletal Radiology; Retina; Endocrine Surgery; Facial Cosmetic & Reconstructive Surgery; Female Functional Urology; Rhinology; Vision Correction Surgery; Facial Plastic Reconstructive Surgery; Head & Neck Surgery; Trauma Surgery; Diabetes; Geriatric Medicine; Orthopaedic Surgery; Plastic Surgery; Upper GI (Gastrointestinal) Surgery; Allergy Medicine; Breast Surgery; Cardiothoracic Surgery; Cataract Surgery; Colorectal Surgery; Cosmetic Dermatology; Dermatology; Ear Nose & Throat Surgery (ENT/Otolaryngology); Endocrinology & Diabetes; Fertility Medicine; Gastroenterology; General Surgery; Genito-Urinary Medicine; Glaucoma; Haematology; Hand & Wrist Surgery; Hepatobiliary & Pancreatic Surgery; Imaging (Scans); Infectious Diseases; Neurology; Oculoplastic Surgery; Oncology; Ophthalmology; Oral & Maxillofacial Surgery; Osteoporosis; Palliative Medicine; Psychiatry; Psychology; Radiology; Reconstructive Surgery; Refractive Surgery / Surgical Solutions; Renal Medicine (Nephrology); Vascular Surgery; Weight Loss & Bariatric Surgery","","5048","contactcentre@kingedwardvii.co.uk","","King Edward VII's Hospital in London is a leding private hospital in the Harley Street medical district. This is the home of truly personalised care, where everything they do is tailored to suit the patient's unique circumstances. A top medical team plus exceptional levels of care blend with world-class expertise and impeccable standards to deliver the best treatments and the finest nursing. A calm, relaxed and peaceful atmosphere completes the story, and all this is underpinned by King Edward VII's Hospital's powerful spirit of philanthropy.  The treatment you'll receive at King Edward VII's Hospital will be given with a smile, with respect, and you'll be treated with the utmost dignity and empathy. Your religious and cultural beliefs will be respected. You'll be carefully listened to, and you will be able to contribute your own opinions about your care. The staff will work closely with your family too. It's all about promoting a culture of kindness and openness, and the highest levels of care are maintained thanks to continual auditing. Highly experienced medical consultants await you, and you'll be given a very warm welcome.  Patients consistently find staff at King Edward VII's Hospital excellent, friendly, and professional. Reviews highlight exceptional care and efficient service across various procedures. Patients often describe the hospital as having clean, attractive facilities and outstanding catering. Many reviews mention imaging services, general urology, and orthopaedic care as key areas of treatment.  Excellent experience - clean and modern hospital (including outpatient wing) with professional and courteous staff.  I had a really positive experience at the private hospital. Reception was very friendly from the moment I walked in, and the hospital was spotlessly clean.  The nurse was friendly and reassuring, and the Dr was knowledgeable  and understandable with regard to HRT medication. I’d be happy to return.  Lovely coffee machine dispensing good fresh coffee. Nice surroundings","1-114202635","","Mr Jeremy Butler","exact","","","","","","","NOT_FOUND","","","","","Mr Jeremy Butler","","","","","","","","","hospital/NHS: ""hospital""","","","","pre_filtered","","","","",""
"The Fertility Centre at Chelsea and Westminster Hospital NHS Foundation Trust","https://www.doctify.com/uk/practice/fertility-clinic-at-chelsea-and-westminster-hospital","https://chelwestprivatecare.co.uk/fertility-centre/","London, SW10 9NH","Obstetrics & Gynaecology","3","28","chelwest.acu@nhs.net","+442033158585","The Fertility Clinic at Chelsea and Westminster Hospital is one of the most successful assisted conception units in the UK, offering a range of fertility treatment from ovulation induction to in vitro fertilisation (IVF) for both private and NHS-funded patients.  In 2020, we launched a satellite service in West Middlesex University Hospital to extend access to our care.  Our team of doctors, nurses, embryologists and counsellor are able to provide you with supportive and individualised care, to give you the best chance of conceiving.  From your first consultation through to your treatment and aftercare, our experienced team will work to give your treatment the highest chance of success while doing everything they can to ensure the whole experience is stress-free.  We have a special interest and expertise in the management of fertility difficulties in mature women, and couples with blood-borne infections. We also work closely with one of the only NHS specialists in male factor infertility.  Thanks to our experience of treating more than 1,000 couples a year since the clinic was founded in 1995, we are here to help if you are finding it difficult to conceive.","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","hospital/NHS: ""hospital""","","","","pre_filtered","","","","",""
"Fitzrovia Fertility","https://www.doctify.com/uk/practice/fitzrovia-fertility","https://www.fitzroviafertility.co.uk/","London, W1U 7LJ","Reproductive Medicine; Fertility Medicine; Gynaecology; Obstetrics; Obstetrics & Gynaecology","3","10","info@fitzroviafertility.co.uk","+442076648844","Fitzrovia Fertility is a London-based clinic offering expert, evidence-based care across all phases of reproductive health. Located on Manchester Street in the heart of the city, the clinic supports individuals and couples with a wide range of gynaecological and fertility needs.  The team of highly experienced consultants and specialists offer a comprehensive suite of services, including fertility assessments, IVF treatment, IVF with PGT-A (Preimplantation Genetic Testing for Aneuploidy), and fertility preservation options such as egg, sperm, and embryo freezing. The clinic also specialises in managing recurrent pregnancy loss, hormone health, and general gynaecological wellbeing.  Conditions treated include polycystic ovary syndrome (PCOS), premenstrual syndrome (PMS), perimenopause, menopause, early pregnancy complications, endometriosis, and fertility-impacting gynaecological conditions. Patients are supported through every stage of their fertility journey, with services tailored to individual needs—whether navigating low ovarian reserve, recurrent implantation failure, or exploring fertility preservation options.  Fitzrovia Fertility is committed to delivering transparent, safe, and personalised care rooted in the latest clinical research. Alongside medical services, the clinic also provides access to patient education, including webinars designed to build understanding and confidence throughout the process.  Their integrated approach combines medical excellence with holistic support, empowering patients with compassion, clarity, and clinical expertise.  This is a very conscientious team who truly embody their motto, “Your Family, Our Mission.” The level of care, compassion, and professionalism at this clinic is exceptional. The whole team are a true asset to fertility care, and I will forever be grateful for their dedication and support. Excellent team, excellent care — I cannot recommend them highly enough.","1-26941055525","Mr Dimitrios Mavrelos","Shirin Khanjani","exact","","","","","","info@fitzroviafertility.co.uk","miss-shirin-khanjani","","","","","Shirin Khanjani","","","","","","","","","","","","","unknown","","","","",""
"Westminster Women's Clinic","https://www.doctify.com/uk/practice/westminster-womens-clinic","https://westminsterwomens.co.uk","London, SW10 9DT","Obstetrics; Cosmetic (Aesthetic) Medicine; Fertility Medicine; General Practice (GP); General Practice (GP) (Video Consultation); Genetic Counselling; Maternal & Foetal Medicine; Medical Weight Loss; Obstetric Medicine; Obstetrics & Gynaecology; Physiotherapy; Psychology; Ultrasonography; Women's Health","12","136","hello@westminsterwomens.co.uk","+442038352060","Westminster Women’s Clinic provides premium, patient-centred care for women and families, offering preconception care, private GP services, gynaecology, fertility support, menopause care, PMS and PMDD support, private maternity care, aesthetic treatments, genetic counselling, pelvic health physiotherapy, counselling and psychotherapy.  Care is delivered by a highly experienced multidisciplinary team of clinicians who are leaders in their fields, with many years of experience across both NHS and private practice. Our team works collaboratively to ensure continuity, clinical excellence and a holistic approach at every stage of care.  The clinic houses multiple consultation rooms and welcoming waiting areas , designed to provide a calm, discreet and supportive environment. Appointments are personalised, unhurried and focused on truly understanding each patient’s needs.  Westminster Women’s Clinic is dedicated to delivering exceptional, evidence-based healthcare , combining clinical excellence with compassion.  Visit our website to learn more about our services and check our clinicians’ live availability to book an appointment.  Westminster Women's Clinic staff and clinicians are consistently described as friendly, welcoming, and professional, providing kind and supportive care. Patients praise the excellent care for services such as fertility issues, Mirena replacement, PMDD, mole removal, gynaecology, and particularly highlight the expertise in pelvic floor physiotherapy and maternity support. Reviews describe a calming, modern, and very clean environment, contributing to feelings of being listened to, understood, and at ease during visits. Overall, the patient feedback for Westminster Women's Clinic consistently emphasises women's health and pregnancy care, with additional positive remarks for C-sections and private maternity.","1-19610695477","Dr Jessie Hamline Mcmicking","Dr Jessie Hamline Mcmicking","exact","","","","","","hello@westminsterwomens.co.uk","jess-mcmicking","","","","","Dr Jessie Hamline Mcmicking","","","","","","","","","","","","","unknown","","","","",""
"HCA Healthcare UK The Portland Hospital","https://www.doctify.com/uk/practice/the-portland-hospital-for-women-and-children-1","https://www.hcahealthcare.co.uk/request-an-appointment?Facility=67bd280ba56b4b3d83ed78ae0a142fc6","London, W1W 5AH","Obstetrics; Obstetrics & Gynaecology; Fertility Medicine; Paediatrics","155","2705","contact@hcahealthcare.co.uk","+442039933972","205 – 209 Great Portland Street, London, United Kingdom, W1W 5AH  205 – 209 Great Portland Street, London, United Kingdom, W1W 5AH  The Portland Hospital for Women is the only private hospital in the UK which focuses exclusively on providing healthcare to women and children. The team at the Portland is made up of over 600 highly skilled and experienced Consultants and nurses. Their cutting-edge facilities are spread across four sites and offer very comfortable surroundings. This is the largest private children's hospital in the UK and they are proud to have a dedicated intensive care unit with 58 paediatric beds and 155 consultant paediatricians. These specialists attend to children of every age, ranging from newborns to adolescents up to the age of eighteen. The Portland places enormous emphasis on the provision of safe and high-quality care for expectant mothers. In fact they are the only fully private maternity hospital in the UK, and more than 1,600 babies are delivered there every year. The on-site Urgent Care Centre treats children under 18 for non-life-threatening conditions as well as minor ones, with fast access to a rota of leading paediatricians, urgent care doctors and specialist nurses 365 days a year. You don't need to make an appointment. The hospital provides comprehensive children's services, delivered by leading consultant paediatricians and healthcare professionals. They're well know for superb maternity and a team of dedicated consultant gynaecologists supports women with a variety of gynaecological conditions delivering fully-integrated care.  205 – 209 Great Portland Street, London, United Kingdom, W1W 5AH  Patients frequently describe the staff and clinicians at HCA Healthcare UK The Portland Hospital as kind, caring, professional, and attentive. Reviews highlight good facilities, a clean and calm setting, and a very good experience. The Portland Hospital receives praise for its pregnancy, maternity, and C-section care, and paediatric surgeries.  Dr Nicholas has been so very fantastic, I cannot recommend him enough! Having had 2 very difficult and traumatic epidurals with my first 2 children, I was feeling extremely anxious in the lead up to my birth, but Dr Nicholas saw me for an anaesthetic review during pregnancy where we went through my history thoroughly, and made a plan for my C Section whilst ensuring I understood and felt comfortable with everything. On the day of my C Section, he was so reassuring to me and my partner, and did a wonderful Spinal anaesthetic which worked perfectly, and supported us with the birth of our 3rd baby in such a compassionate, kind and fun way! We can’t thank him enough for being so great!","1-126955917","Ms Jane Whitney-Smith","Mr John Reay","exact","","","","","","","NOT_FOUND","","","","","Mr John Reay","","","","","","","","","hospital/NHS: ""hospital""","","","","pre_filtered","","","","",""
"HCA Healthcare UK The Princess Grace Hospital","https://www.doctify.com/uk/practice/the-princess-grace-hospital-1","https://www.hcahealthcare.co.uk/request-an-appointment?Facility=67bd280ba56b4b3d83ed78ae0a142fc6","London, W1U 5NY","Urology; Orthopaedic Surgery; Breast Surgery; Ear Nose & Throat Surgery (ENT/Otolaryngology); Endocrinology & Diabetes; Gastroenterology; General Surgery; Hepatology; Obstetrics & Gynaecology; Sports & Exercise Medicine","","3372","","+442074861234","","1-126955732","Mr William David Pressley","Mr John Reay","exact","","","","","","","NOT_FOUND","","","","","Mr John Reay","","","","","","","","","hospital/NHS: ""hospital""","","","","pre_filtered","","","","",""
"HCA Healthcare UK The Harley Street Clinic","https://www.doctify.com/uk/practice/the-harley-street-clinic-3","https://www.hcahealthcare.co.uk/request-an-appointment?Facility=67bd280ba56b4b3d83ed78ae0a142fc6","London, W1G 8BJ","Cardiology; Urology; Imaging (Scans); General (Internal) Medicine; Neurosurgery; Oncology; Breast Surgery; Gastroenterology; Obstetrics & Gynaecology; Radiology; Vascular Science","","3263","","+442079357700","","1-126955771","Mr William David Pressley","Mr John Reay","exact","","","","","","","NOT_FOUND","","","","","Mr John Reay","","","","","","","","","hospital/NHS: ""hca healthcare""","","","","pre_filtered","","","","",""
"The London Clinic","https://www.doctify.com/uk/practice/the-london-clinic","https://www.thelondonclinic.co.uk/","London, W1G 6BW","Adult Ear, Nose & Throat Surgery; Physiotherapy; Ear Nose & Throat Surgery (ENT/Otolaryngology); Urology; Endocrinology & Diabetes; Cardiology; Dermatology; Gastroenterology; General Surgery; Geriatric Medicine; Haematology; Neurology; Obstetrics & Gynaecology; Paediatrics; Radiology; Rheumatology","","2203","selfpayenquiries@thelondonclinic.co.uk","","For nearly 100 years, The London Clinic has been at the forefront of independent healthcare in the UK, committed to delivering world-class care with compassion and innovation. Located in the prestigious Harley Street medical district, it is the UK’s largest independent charitable hospital, offering award-winning nursing care (LaingBuisson’s Nursing Team of the Year 2024) and treatment across a broad range of specialities.  The calibre of the consultants who work with us, the training and dedication of our staff and the range and complexity of the treatments we provide all make our hospital very special.  The London Clinic is one of only a handful of independent hospitals that operate as a charity. This means all our proceeds are re-invested back into the hospital, to advance healthcare for the benefit of our patients and the wider community.  A dedicated Cancer Care Hospital The London Clinic offers the most comprehensive range of cancer services of any UK independent single-site hospital. We manage the entire patient pathway, from screening and diagnostics to surgery, chemotherapy, radiotherapy, counselling, survivorship support and palliative care. Providing patients access to pioneering therapies such as CAR T-cell therapy, immunotherapy, robotic surgery, and molecular profiling. We were the first hospital to secure a 5* Macmillan Quality Environment Mark, first awarded in 2019 and retained in 2024.  Rapid Diagnostics Opened in 2024, our Rapid Diagnostics Centre (RDC) delivers fast-track specialist care for breast health, urology, gynaecology, and dermatology, alongside 24/7 GP services and a range of health assessments. Spanning six floors, the RDC features 14 consulting rooms, 11 diagnostic and treatment rooms, a 3T MRI AI supported scanner, advanced ultrasound, Horizon DEXA X-ray and contrast-enhanced mammography. We also offer biomarker testing (BRCA, CA125) and comprehensive genetic panels (12 and 72 gene). We’re committed to delivering early and accurate diagnosis, with an aim to see patients within 48 hours.  Urology Clinic The London Clinic specialises in all areas of male and female urology, offering a wide range of diagnostics including urine and blood tests (PSA, PSE), CT, MRI, bladder scans, Uroflowmetry, Flexible Cystoscopy, and Ultrasound. These tools help us diagnose and treat conditions such as prostate and bladder cancer, kidney stones, and erectile dysfunction. We are also a leading provider of Aquablation therapy, a minimally invasive robotic treatment for benign prostatic hyperplasia.","1-114617347","Ms Tonya Nadine Kloppers","Mr Alexander Russell","exact","","","","","","","NOT_FOUND","","","","","Mr Alexander Russell","","","","","","","","","","","","","unknown","","","","",""
